LITH_ID,WELL_INFO_ID,LOCAL_ID1,LOCAL_ID2,LOCAL_ID3,X_CATEALEALBERS_m,Y_CATEALEALBERS_m,GROUND_SURFACE_ELEVATION_m,LITH_TOP_DEPTH_m,LITH_BOT_DEPTH_m,LITH_DESCRIPTION,Texture_Qualifier,Secondary_Texture_Modifier,Primary_Texture_Modifier,Texture,Color_Qualifier,Primary_Color,Secondary_Color,Classification,DATA_SOURCE
333699,16188,| 134384,,,-201841.8075,421442.556,849.20328,0,4.57,clay & rocks,,,rocky,clay,,,,fine,AECOM (Local Agencies)
333700,16188,| 134384,,,-201841.8075,421442.556,849.20328,4.57,12.19,clay,,,,clay,,,,fine,AECOM (Local Agencies)
333701,16188,| 134384,,,-201841.8075,421442.556,849.20328,12.19,21.34,black rock,,,,rock,,black,,n/a,AECOM (Local Agencies)
333702,16189,| E0215470,,,-208512.5096,411266.135,773.030712,0,1.52,sand & rocks,,,rocky,sand,,,,coarse,AECOM (Local Agencies)
333703,16189,| E0215470,,,-208512.5096,411266.135,773.030712,1.52,4.57,sedimentary rock,,,,rock,,,,n/a,AECOM (Local Agencies)
333704,16189,| E0215470,,,-208512.5096,411266.135,773.030712,4.57,24.38,gravel & clay,,,clayey,gravel,,,,coarse,AECOM (Local Agencies)
333705,16189,| E0215470,,,-208512.5096,411266.135,773.030712,24.38,39.62,clay,,,,clay,,,,fine,AECOM (Local Agencies)
333706,16189,| E0215470,,,-208512.5096,411266.135,773.030712,39.62,44.2,sand & gravel,,,gravelly,sand,,,,coarse,AECOM (Local Agencies)
333707,16189,| E0215470,,,-208512.5096,411266.135,773.030712,44.2,57.91,clay,,,,clay,,,,fine,AECOM (Local Agencies)
333708,16189,| E0215470,,,-208512.5096,411266.135,773.030712,57.91,60.96,gravel,,,,gravel,,,,coarse,AECOM (Local Agencies)
333709,16189,| E0215470,,,-208512.5096,411266.135,773.030712,60.96,91.44,volcanic rock?,volcanic,,,rock,,,,n/a,AECOM (Local Agencies)
333710,16190,| 722778,,,-202627.8734,377271.8931,1129.171224,0,16.76,clay,,,,clay,,,,fine,AECOM (Local Agencies)
