parnme,parval1,parlbnd,parubnd,pargp,scale,offset
anisovc1,3.338509226,1,10,aniso,1.00E+00,0.00E+00
anisoff1_m,1.13259,1,12,aniso_m,1.00E+00,0.00E+00
anisomc1_m,1.749807729,1,16,aniso_m,1.00E+00,0.00E+00
anisomf1_m,1.106999321,1,12,aniso_m,1.00E+00,0.00E+00
anisosc1_m,1.080406832,1,12,aniso_m,1.00E+00,0.00E+00
ie_cp_grn,1.06415,1,1.2,irreff,1.00E+00,0.00E+00
ie_cp_pas,0.933132,0.8,1,irreff,1.00E+00,0.00E+00
ie_flood,0.718801,0.5,0.8,irreff,1.00E+00,0.00E+00
ie_wl_grn,1.01098,1,1.2,irreff,1.00E+00,0.00E+00
ie_wl_pas,0.844698,0.8,1,irreff,1.00E+00,0.00E+00
kcm_alf,1,0.9,1.1,kvm,1.00E+00,0.00E+00
kcm_grn,1,0.9,1.1,kvm,1.00E+00,0.00E+00
kcm_nat,1,0.9,1.1,kvm,1.00E+00,0.00E+00
kcm_pas,1,0.9,1.1,kvm,1.00E+00,0.00E+00
kminff1,0.6,0.01,1,k,1.00E+00,0.00E+00
kminmc1_m,1.1,1,100,k_m,1.00E+00,0.00E+00
kminmf1_m,5.6,1,100,k_m,1.00E+00,0.00E+00
kminsc1_m,10,1,100,k_m,1.00E+00,0.00E+00
kminvc1_m,1.2,1,100,k_m,1.00E+00,0.00E+00
khp1,90,25,100,plp,1.00E-02,0.00E+00
kvp1,71,15,100,plp,-1.00E-02,0.00E+00
rdm_grn,1,0.5,2,rdm,1.00E+00,0.00E+00
rdm_nat,1,0.5,2,rdm,1.00E+00,0.00E+00
rdm_pas,1,0.5,2,rdm,1.00E+00,0.00E+00
ssff1,2.24E-04,1.00E-05,1.00E-02,ss,1.00E+00,0.00E+00
ssmc1_m,0.461042,0.1,1,ss_m,1.00E+00,0.00E+00
ssmf1_m,0.761352,0.1,1,ss_m,1.00E+00,0.00E+00
sssc1_m,0.570784,0.1,1,ss_m,1.00E+00,0.00E+00
ssvc1_m,0.457695,0.1,1,ss_m,1.00E+00,0.00E+00
sysc1,0.25,0.2,0.4,sy,1.00E+00,0.00E+00
syff1_m,0.788847,0.01,1,sy_m,1.00E+00,0.00E+00
symc1_m,0.800298,0.1,1.5,sy_m,1.00E+00,0.00E+00
symf1_m,0.119751,0.1,1.5,sy_m,1.00E+00,0.00E+00
syvc1_m,0.193089,0.1,1.5,sy_m,1.00E+00,0.00E+00
sbcm01,1.004629104,0.1,2,msfr,1.00E+00,0.00E+00
sbcm02,0.500573337,0.1,2,msfr,1.00E+00,0.00E+00
sbcm03,0.567289337,0.1,2,msfr,1.00E+00,0.00E+00
sbcm04,1.288950833,0.1,2,msfr,1.00E+00,0.00E+00
sbcm05,1.00317894,0.1,2,msfr,1.00E+00,0.00E+00
sbcm06,0.706744514,0.1,2,msfr,1.00E+00,0.00E+00
sbcm07,0.77486321,0.1,2,msfr,1.00E+00,0.00E+00
sbcm08,1.046634546,0.1,2,msfr,1.00E+00,0.00E+00
sbcm09,1.035864934,0.1,2,msfr,1.00E+00,0.00E+00
sbcm10,1.542908554,0.1,2,msfr,1.00E+00,0.00E+00
sbcm11,1.109917033,0.1,2,msfr,1.00E+00,0.00E+00
sbcm12,1.091488847,0.1,2,msfr,1.00E+00,0.00E+00
sbcm13,1.099808692,0.1,2,msfr,1.00E+00,0.00E+00
sbcm14,0.998365457,0.1,2,msfr,1.00E+00,0.00E+00
sbcm15,1.017104583,0.1,2,msfr,1.00E+00,0.00E+00
sbcm16,0.807588702,0.1,2,msfr,1.00E+00,0.00E+00
sbcm17,0.979149932,0.1,2,msfr,1.00E+00,0.00E+00
sbcm18,0.667541851,0.1,2,msfr,1.00E+00,0.00E+00
sbcm19,0.613871121,0.1,2,msfr,1.00E+00,0.00E+00
sbcm20,0.847054917,0.1,2,msfr,1.00E+00,0.00E+00
sbcm21,0.956092053,0.1,2,msfr,1.00E+00,0.00E+00
sbcm22,0.965352204,0.1,2,msfr,1.00E+00,0.00E+00
sbcm23,1.019570273,0.1,2,msfr,1.00E+00,0.00E+00
sbcm24,1.133895245,0.1,2,msfr,1.00E+00,0.00E+00
sbcm25,0.987336125,0.1,2,msfr,1.00E+00,0.00E+00
sbcm26,1.726885395,0.1,2,msfr,1.00E+00,0.00E+00
sbcm27,1.194464032,0.1,2,msfr,1.00E+00,0.00E+00
sbcm28,0.632588586,0.1,2,msfr,1.00E+00,0.00E+00
sbcm29,1.246361788,0.1,2,msfr,1.00E+00,0.00E+00
sbcm30,0.96867615,0.1,2,msfr,1.00E+00,0.00E+00
str_mult_wildcat,1,0.5,1.1,str_mult,1.00E+00,0.00E+00
str_mult_mcc_main,1,0.5,1.1,str_mult,1.00E+00,0.00E+00
str_mult_mcc_branch,1,0.5,1.1,str_mult,1.00E+00,0.00E+00
str_mult_miners,1,0.5,1.1,str_mult,1.00E+00,0.00E+00
str_mult_french,1,0.5,1.1,str_mult,1.00E+00,0.00E+00
str_mult_clark,1,0.5,1.1,str_mult,1.00E+00,0.00E+00
str_mult_etna,1,0.5,1.1,str_mult,1.00E+00,0.00E+00
str_mult_hearts,1,0.5,1.1,str_mult,1.00E+00,0.00E+00
str_mult_shell,1,0.5,1.1,str_mult,1.00E+00,0.00E+00
str_mult_hamlin,1,0.5,1.1,str_mult,1.00E+00,0.00E+00
str_mult_johnson,1,0.5,1.1,str_mult,1.00E+00,0.00E+00
