stream multiplier
Scott_River_Avg_Flow_m3day 1.0
South_Fork_Avg_Flow_m3day 1.0
Wildcat_Avg_Flow_m3day 1.0
Sugar_Avg_Flow_m3day 1.0
McConaughy_Main_Avg_Flow_m3day 1.0
McConaughy_Branch_Avg_Flow_m3day 1.0
Miners_Avg_Flow_m3day 1.0
French_Avg_Flow_m3day 1.0
Clark_Avg_Flow_m3day 1.0
Etna_Avg_Flow_m3day 1.0
Heartstrand_Avg_Flow_m3day 1.0
Shell_Avg_Flow_m3day 1.0
Hamlin_Avg_Flow_m3day 1.0
Johnson_Avg_Flow_m3day 1.0
Crystal_Avg_Flow_m3day 1.0
Patterson_Avg_Flow_m3day 1.0
Kidder_Avg_Flow_m3day 1.0
Moffett_Avg_Flow_m3day 1.0
McAdams_Avg_Flow_m3day 1.0
Indian_Avg_Flow_m3day 1.0
Rattlesnake_Avg_Flow_m3day 1.0
Mill_Avg_Flow_m3day 1.0
Shackleford_Avg_Flow_m3day 1.0
Sniktaw_Avg_Flow_m3day 1.0
Patterson_North_Avg_Flow_m3day 1.0
