Well,Row,Column,X,Y,Z,Layer1
1,271,111,511043.1316,4588249.262,854.068,-999.000
2,271,111,511043.1316,4588249.262,851.020,4.33811
3,271,111,511043.1316,4588249.262,844.924,4.33811
4,271,111,511043.1316,4588249.262,838.675,5.77070
5,189,79,507780.3704,4596469.980,854.248,4.33811
6,189,79,507780.3704,4596469.980,848.914,5.77070
7,189,79,507780.3704,4596469.980,847.390,4.33811
8,189,79,507780.3704,4596469.980,846.323,4.99638
9,189,79,507780.3704,4596469.980,842.208,4.33811
10,189,79,507780.3704,4596469.980,837.179,4.33811
11,189,79,507780.3704,4596469.980,834.436,4.99638
12,189,79,507780.3704,4596469.980,830.169,4.99638
13,141,62,506173.7290,4601319.444,864.606,4.33811
14,141,62,506173.7290,4601319.444,856.986,4.33811
15,141,62,506173.7290,4601319.444,846.318,5.77070
16,141,62,506173.7290,4601319.444,837.936,5.77070
17,189,79,507780.3704,4596469.980,855.772,4.33811
18,189,79,507780.3704,4596469.980,850.438,4.33811
19,189,79,507780.3704,4596469.980,845.104,4.99638
20,189,79,507780.3704,4596469.980,839.008,4.99638
21,189,79,507780.3704,4596469.980,835.198,4.99638
22,271,111,511043.1316,4588249.262,853.153,4.33811
23,271,111,511043.1316,4588249.262,849.953,4.78783
24,271,111,511043.1316,4588249.262,838.980,4.33811
25,271,111,511043.1316,4588249.262,823.130,4.99638
26,271,111,511043.1316,4588249.262,812.310,4.99638
27,223,188,518711.9822,4593045.133,977.560,4.33811
28,223,188,518711.9822,4593045.133,975.122,4.99638
29,223,188,518711.9822,4593045.133,970.855,4.33811
30,223,188,518711.9822,4593045.133,967.502,4.33811
31,223,188,518711.9822,4593045.133,964.911,4.33811
32,223,188,518711.9822,4593045.133,962.930,5.77070
33,223,188,518711.9822,4593045.133,949.062,3.45917
34,191,67,506603.5797,4596266.698,875.152,4.99638
35,191,67,506603.5797,4596266.698,866.770,4.33811
36,191,67,506603.5797,4596266.698,841.929,4.99638
37,191,67,506603.5797,4596266.698,813.735,3.45917
38,227,172,517079.2012,4593100.351,897.748,4.33811
39,227,172,517079.2012,4593100.351,887.080,5.77070
40,227,172,517079.2012,4593100.351,877.936,5.77070
41,227,172,517079.2012,4593100.351,869.554,5.77070
42,227,172,517079.2012,4593100.351,862.696,5.77070
43,227,172,517079.2012,4593100.351,857.972,5.77070
44,92,79,507786.2197,4606169.232,830.038,4.33811
45,92,79,507786.2197,4606169.232,825.466,4.33811
46,92,79,507786.2197,4606169.232,820.132,4.99638
47,92,79,507786.2197,4606169.232,814.036,4.33811
48,92,79,507786.2197,4606169.232,807.178,4.33811
49,92,79,507786.2197,4606169.232,803.368,4.33811
